model,context_length,depth_percent,version,needle,score,test_duration_seconds,test_timestamp_utc,file_name,_source_file,test_timestamp_utc_parsed,is_checkpoint
meta-llama/Llama-3.2-1B,2048,1.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.8101978302001953,2025-12-28 15:32:45+0000,meta-llama/Llama-3_2-1B_len_2048_depth_100,Llama-3_2-1B_len_2048_depth_100_results.json,2025-12-28 15:32:45+00:00,False
meta-llama/Llama-3.2-1B,2048,5.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.6686632633209229,2025-12-28 15:32:47+0000,meta-llama/Llama-3_2-1B_len_2048_depth_500,Llama-3_2-1B_len_2048_depth_500_results.json,2025-12-28 15:32:47+00:00,False
meta-llama/Llama-3.2-1B,2048,10.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.6671710014343262,2025-12-28 15:32:48+0000,meta-llama/Llama-3_2-1B_len_2048_depth_1000,Llama-3_2-1B_len_2048_depth_1000_results.json,2025-12-28 15:32:48+00:00,False
meta-llama/Llama-3.2-1B,2048,25.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.6719930171966553,2025-12-28 15:32:50+0000,meta-llama/Llama-3_2-1B_len_2048_depth_2500,Llama-3_2-1B_len_2048_depth_2500_results.json,2025-12-28 15:32:50+00:00,False
meta-llama/Llama-3.2-1B,2048,50.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.667855978012085,2025-12-28 15:32:51+0000,meta-llama/Llama-3_2-1B_len_2048_depth_5000,Llama-3_2-1B_len_2048_depth_5000_results.json,2025-12-28 15:32:51+00:00,False
meta-llama/Llama-3.2-1B,2048,75.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.666576623916626,2025-12-28 15:32:53+0000,meta-llama/Llama-3_2-1B_len_2048_depth_7500,Llama-3_2-1B_len_2048_depth_7500_results.json,2025-12-28 15:32:53+00:00,False
meta-llama/Llama-3.2-1B,2048,90.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.6721067428588867,2025-12-28 15:32:55+0000,meta-llama/Llama-3_2-1B_len_2048_depth_9000,Llama-3_2-1B_len_2048_depth_9000_results.json,2025-12-28 15:32:55+00:00,False
meta-llama/Llama-3.2-1B,2048,95.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.6677272319793701,2025-12-28 15:32:56+0000,meta-llama/Llama-3_2-1B_len_2048_depth_9500,Llama-3_2-1B_len_2048_depth_9500_results.json,2025-12-28 15:32:56+00:00,False
meta-llama/Llama-3.2-1B,2048,99.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.6732347011566162,2025-12-28 15:32:58+0000,meta-llama/Llama-3_2-1B_len_2048_depth_9900,Llama-3_2-1B_len_2048_depth_9900_results-checkpoint.json,2025-12-28 15:32:58+00:00,True
meta-llama/Llama-3.2-1B,4096,1.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0,1.3424766063690186,2025-12-28 15:33:00+0000,meta-llama/Llama-3_2-1B_len_4096_depth_100,Llama-3_2-1B_len_4096_depth_100_results.json,2025-12-28 15:33:00+00:00,False
meta-llama/Llama-3.2-1B,4096,5.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0,1.347259521484375,2025-12-28 15:33:02+0000,meta-llama/Llama-3_2-1B_len_4096_depth_500,Llama-3_2-1B_len_4096_depth_500_results.json,2025-12-28 15:33:02+00:00,False
meta-llama/Llama-3.2-1B,4096,10.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0,1.349165678024292,2025-12-28 15:33:05+0000,meta-llama/Llama-3_2-1B_len_4096_depth_1000,Llama-3_2-1B_len_4096_depth_1000_results.json,2025-12-28 15:33:05+00:00,False
meta-llama/Llama-3.2-1B,4096,25.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0,1.3466458320617676,2025-12-28 15:33:07+0000,meta-llama/Llama-3_2-1B_len_4096_depth_2500,Llama-3_2-1B_len_4096_depth_2500_results.json,2025-12-28 15:33:07+00:00,False
meta-llama/Llama-3.2-1B,4096,50.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0,1.3471405506134033,2025-12-28 15:33:09+0000,meta-llama/Llama-3_2-1B_len_4096_depth_5000,Llama-3_2-1B_len_4096_depth_5000_results.json,2025-12-28 15:33:09+00:00,False
meta-llama/Llama-3.2-1B,4096,75.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,1.3447415828704834,2025-12-28 15:33:12+0000,meta-llama/Llama-3_2-1B_len_4096_depth_7500,Llama-3_2-1B_len_4096_depth_7500_results.json,2025-12-28 15:33:12+00:00,False
meta-llama/Llama-3.2-1B,4096,90.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,1.353027582168579,2025-12-28 15:33:14+0000,meta-llama/Llama-3_2-1B_len_4096_depth_9000,Llama-3_2-1B_len_4096_depth_9000_results.json,2025-12-28 15:33:14+00:00,False
meta-llama/Llama-3.2-1B,4096,95.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,1.3506207466125488,2025-12-28 15:33:16+0000,meta-llama/Llama-3_2-1B_len_4096_depth_9500,Llama-3_2-1B_len_4096_depth_9500_results.json,2025-12-28 15:33:16+00:00,False
meta-llama/Llama-3.2-1B,4096,99.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,1.3478562831878662,2025-12-28 15:33:19+0000,meta-llama/Llama-3_2-1B_len_4096_depth_9900,Llama-3_2-1B_len_4096_depth_9900_results.json,2025-12-28 15:33:19+00:00,False
meta-llama/Llama-3.2-1B,8192,1.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0,2.7051010131835938,2025-12-28 15:33:22+0000,meta-llama/Llama-3_2-1B_len_8192_depth_100,Llama-3_2-1B_len_8192_depth_100_results.json,2025-12-28 15:33:22+00:00,False
meta-llama/Llama-3.2-1B,8192,5.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0,2.7191176414489746,2025-12-28 15:33:26+0000,meta-llama/Llama-3_2-1B_len_8192_depth_500,Llama-3_2-1B_len_8192_depth_500_results.json,2025-12-28 15:33:26+00:00,False
meta-llama/Llama-3.2-1B,8192,10.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0,2.7200591564178467,2025-12-28 15:33:30+0000,meta-llama/Llama-3_2-1B_len_8192_depth_1000,Llama-3_2-1B_len_8192_depth_1000_results.json,2025-12-28 15:33:30+00:00,False
meta-llama/Llama-3.2-1B,8192,25.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0,2.7124383449554443,2025-12-28 15:33:34+0000,meta-llama/Llama-3_2-1B_len_8192_depth_2500,Llama-3_2-1B_len_8192_depth_2500_results.json,2025-12-28 15:33:34+00:00,False
meta-llama/Llama-3.2-1B,8192,50.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0,2.7123563289642334,2025-12-28 15:33:37+0000,meta-llama/Llama-3_2-1B_len_8192_depth_5000,Llama-3_2-1B_len_8192_depth_5000_results.json,2025-12-28 15:33:37+00:00,False
meta-llama/Llama-3.2-1B,8192,75.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0,2.714270830154419,2025-12-28 15:33:41+0000,meta-llama/Llama-3_2-1B_len_8192_depth_7500,Llama-3_2-1B_len_8192_depth_7500_results.json,2025-12-28 15:33:41+00:00,False
meta-llama/Llama-3.2-1B,8192,90.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,2.711501359939575,2025-12-28 15:33:45+0000,meta-llama/Llama-3_2-1B_len_8192_depth_9000,Llama-3_2-1B_len_8192_depth_9000_results.json,2025-12-28 15:33:45+00:00,False
meta-llama/Llama-3.2-1B,8192,95.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,2.716120958328247,2025-12-28 15:33:48+0000,meta-llama/Llama-3_2-1B_len_8192_depth_9500,Llama-3_2-1B_len_8192_depth_9500_results.json,2025-12-28 15:33:48+00:00,False
meta-llama/Llama-3.2-1B,8192,99.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,2.7296242713928223,2025-12-28 15:33:52+0000,meta-llama/Llama-3_2-1B_len_8192_depth_9900,Llama-3_2-1B_len_8192_depth_9900_results.json,2025-12-28 15:33:52+00:00,False
